id,item,geo,inception,country,countryLabel,long,lat
77,http://www.wikidata.org/entity/Q4884728,Point(-3.934597 55.773361),2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q145,,-3.934597,55.773361
78,http://www.wikidata.org/entity/Q4873358,Point(41.61916667 41.63527778),2018-01-01T00:00:00Z,http://www.wikidata.org/entity/Q230,,41.61916667,41.63527778
79,http://www.wikidata.org/entity/Q5006492,Point(-97.113 33.2618),2004-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30,,-97.113,33.2618
80,http://www.wikidata.org/entity/Q5210935,Point(121.564 39.02),2013-07-03T00:00:00Z,http://www.wikidata.org/entity/Q148,,121.564,39.02
81,http://www.wikidata.org/entity/Q5072159,Point(113.073256 36.218506),2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q148,,113.073256,36.218506
82,http://www.wikidata.org/entity/Q5091591,Point(127.115081 36.81876),2001-07-31T00:00:00Z,http://www.wikidata.org/entity/Q884,,127.115081,36.81876
83,http://www.wikidata.org/entity/Q5004664,Point(126.84991667 37.73013889),2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q884,,126.84991667,37.73013889
84,http://www.wikidata.org/entity/Q4875423,Point(34.7794 31.2731),2015-01-01T00:00:00Z,http://www.wikidata.org/entity/Q801,,34.7794,31.2731
85,http://www.wikidata.org/entity/Q5306379,Point(-2.99164 53.39756),2008-01-01T00:00:00Z,http://www.wikidata.org/entity/Q145,,-2.99164,53.39756
86,http://www.wikidata.org/entity/Q4982684,Point(126.798999 37.502567),2001-01-01T00:00:00Z,http://www.wikidata.org/entity/Q884,,126.798999,37.502567
87,http://www.wikidata.org/entity/Q4702278,Point(35.744722 35.560556),1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q858,,35.744722,35.560556
88,http://www.wikidata.org/entity/Q4841823,Point(29.825019 -18.91628),1995-01-01T00:00:00Z,http://www.wikidata.org/entity/Q954,,29.825019,-18.91628
